Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44109;NANTES                        ;3 553;1 617 369;6 361;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44114;ORVAULT                       ;338;1 516 850;5 617;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44143;REZE                          ;149;1 328 397;3 790;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44162;SAINT-HERBLAIN                ;176;1 313 283;3 767;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44184;ST NAZAIRE                    ;348;1 359 889;4 183;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44190;ST SEBASTIEN                  ;204;1 419 522;4 907;
Pays-de-la-Loire;LOIRE-ATLANTIQUE;44215;VERTOU                        ;245;1 484 964;5 158;
Pays-de-la-Loire;MAINE-ET-LOIRE;49007;ANGERS                        ;1 151;1 538 630;5 889;
Pays-de-la-Loire;MAINE-ET-LOIRE;49099;CHOLET                        ;388;1 500 528;5 026;
Pays-de-la-Loire;MAINE-ET-LOIRE;49328;SAUMUR                        ;223;1 434 453;4 588;
Pays-de-la-Loire;MAYENNE;53130;LAVAL                         ;373;1 587 783;6 746;
Pays-de-la-Loire;SARTHE;72181;LE MANS                       ;982;1 548 250;6 019;
Pays-de-la-Loire;VENDEE;85191;LA ROCHE SUR YON              ;297;1 603 448;6 696;
Picardie;AISNE;02408;LAON                          ;124;1 666 568;6 358;
Picardie;AISNE;02691;SAINT QUENTIN                 ;293;1 530 562;5 444;
Picardie;AISNE;02722;SOISSONS                      ;255;1 647 131;6 338;
Picardie;OISE;60057;BEAUVAIS                      ;309;1 814 088;7 689;
Picardie;OISE;60159;COMPIEGNE                     ;539;1 648 469;6 609;
Picardie;SOMME;80001;ABBEVILLE                     ;135;1 519 131;5 342;
Picardie;SOMME;80021;AMIENS                        ;879;1 606 482;6 384;
Poitou-Charentes;CHARENTE;16015;ANGOULEME                     ;267;1 621 941;6 242;
Poitou-Charentes;CHARENTE;16102;COGNAC                        ;141;1 654 315;6 942;
Poitou-Charentes;CHARENTE-MARITIME;17300;LA ROCHELLE                   ;1 004;1 513 024;5 232;
Poitou-Charentes;CHARENTE-MARITIME;17299;ROCHEFORT                     ;130;1 394 643;4 032;
Poitou-Charentes;CHARENTE-MARITIME;17415;SAINTES                       ;154;1 423 097;4 384;
Poitou-Charentes;DEUX-SEVRES;79191;NIORT                         ;402;1 640 719;6 402;
Poitou-Charentes;VIENNE;86066;CHATELLERAULT                 ;167;1 412 710;4 492;
Poitou-Charentes;VIENNE;86194;POITIERS                      ;556;1 911 400;12 383;
PACA;ALPES-DE-HAUTE-PROVENCE;04112;MANOSQUE                      ;206;1 404 644;4 410;
PACA;ALPES-MARITIMES;06004;ANTIBES                       ;1 629;1 562 214;5 694;
PACA;ALPES-MARITIMES;06027;CAGNES SUR MER                ;614;1 462 520;4 837;
PACA;ALPES-MARITIMES;06029;CANNES                        ;2 224;1 817 335;8 066;
PACA;ALPES-MARITIMES;06069;GRASSE                        ;584;1 500 454;5 257;
PACA;ALPES-MARITIMES;06030;LE CANNET                     ;626;1 753 625;7 716;
PACA;ALPES-MARITIMES;06083;MENTON                        ;376;1 465 521;4 948;
PACA;ALPES-MARITIMES;06088;NICE                          ;4 847;1 560 362;5 798;
PACA;ALPES-MARITIMES;06123;SAINT LAURENT DU VAR          ;300;1 504 780;5 072;
PACA;ALPES-MARITIMES;06155;VALLAURIS                     ;493;1 562 076;5 582;
PACA;ALPES-MARITIMES;06900;MONACO;394;2 484 280;15 635;
PACA;BOUCHES-DU-RHONE;13001;AIX EN PROVENCE               ;2 701;1 632 860;6 499;
PACA;BOUCHES-DU-RHONE;13004;ARLES                         ;319;1 475 139;5 001;
PACA;BOUCHES-DU-RHONE;13005;AUBAGNE                       ;384;1 505 409;4 950;
PACA;BOUCHES-DU-RHONE;13047;ISTRES                        ;115;1 400 864;4 382;
PACA;BOUCHES-DU-RHONE;13028;LA CIOTAT                     ;362;1 526 875;5 223;
PACA;BOUCHES-DU-RHONE;13054;MARIGNANE                     ;112;1 425 029;4 405;
PACA;BOUCHES-DU-RHONE;13055;MARSEILLE                     ;5 859;1 719 135;7 057;
PACA;BOUCHES-DU-RHONE;13056;MARTIGUES                     ;206;1 337 445;3 702;
PACA;BOUCHES-DU-RHONE;13103;SALON DE PROVENCE             ;270;1 466 555;4 945;
PACA;BOUCHES-DU-RHONE;13117;VITROLLES                     ;68;1 447 325;4 374;
PACA;HAUTES-ALPES;05061;GAP                           ;322;1 493 438;4 884;
PACA;VAR;83050;DRAGUIGNAN                    ;382;1 440 598;4 749;
PACA;VAR;83061;FREJUS                        ;591;1 451 232;4 740;
PACA;VAR;83069;HYERES                        ;933;1 475 937;4 852;
PACA;VAR;83062;LA GARDE                      ;177;1 518 246;5 396;
PACA;VAR;83126;LA SEYNE SUR MER              ;270;1 328 400;3 672;
PACA;VAR;83144;LA VALETTE                    ;163;1 383 361;4 178;
PACA;VAR;83118;SAINT-RAPHAEL                 ;1 236;1 501 320;5 143;
PACA;VAR;83129;SIX-FOURS-LES-PLAGES          ;444;1 422 074;4 373;
PACA;VAR;83137;TOULON                        ;1 294;1 448 432;5 046;
PACA;VAUCLUSE;84007;AVIGNON                       ;572;1 679 383;6 759;
PACA;VAUCLUSE;84031;CARPENTRAS                    ;205;1 638 616;6 178;
PACA;VAUCLUSE;84035;CAVAILLON                     ;186;1 447 378;4 510;
PACA;VAUCLUSE;84087;ORANGE                        ;163;1 500 498;4 937;
Réunion;REUNION;9708 ;LA POSSESSION                 ;76;1 585 372;5 595;
Réunion;REUNION;9709 ;SAINT ANDRE                   ;57;1 586 979;5 471;
Réunion;REUNION;9711 ;SAINT DENIS                   ;650;1 646 937;6 332;
Réunion;REUNION;9715 ;SAINT PAUL                    ;321;1 620 378;6 000;
Réunion;REUNION;9716 ;SAINT PIERRE                  ;160;1 719 637;6 531;
Réunion;REUNION;9718 ;SAINTE MARIE                  ;84;1 625 207;5 991;
Réunion;REUNION;9722 ;TAMPON                        ;155;1 600 244;5 740;
Rhône-Alpes;AIN;01053;BOURG-EN-BRESSE               ;281;1 449 840;4 737;
Rhône-Alpes;AIN;01283;OYONNAX                       ;164;2 070 883;9 862;
Rhône-Alpes;DROME;26198;MONTELIMAR                    ;260;1 561 401;5 981;
Rhône-Alpes;DROME;26281;ROMANS                        ;168;1 537 836;5 378;
Rhône-Alpes;DROME;26362;VALENCE                       ;472;1 542 482;5 726;
Rhône-Alpes;HAUTE-SAVOIE;74010;ANNECY                        ;872;1 484 547;4 969;
Rhône-Alpes;HAUTE-SAVOIE;74012;ANNEMASSE                     ;220;1 330 459;3 671;
Rhône-Alpes;HAUTE-SAVOIE;74281;THONON-LES-BAINS              ;386;1 766 371;7 680;
Rhône-Alpes;ISERE;38053;BOURGOIN JALLIEU              ;146;1 561 490;6 097;
Rhône-Alpes;ISERE;38151;ECHIROLLES                    ;97;1 209 854;2 750;
Rhône-Alpes;ISERE;38185;GRENOBLE                      ;1 429;1 563 881;5 838;
Rhône-Alpes;ISERE;38421;ST MARTIN D'HERES             ;74;1 465 733;4 680;
Rhône-Alpes;ISERE;38544;VIENNE                        ;222;1 478 140;4 998;
Rhône-Alpes;ISERE;38563;VOIRON                        ;181;1 586 833;5 971;
Rhône-Alpes;LOIRE;42187;ROANNE                        ;179;1 531 152;5 524;
Rhône-Alpes;LOIRE;42207;SAINT CHAMOND                 ;142;1 684 435;7 293;
Rhône-Alpes;LOIRE;42218;SAINT ETIENNE                 ;989;1 692 702;7 460;
Rhône-Alpes;RHONE;69029;BRON                          ;315;1 418 905;4 427;
Rhône-Alpes;RHONE;69034;CALUIRE ET CUIRE              ;864;1 691 781;6 883;
Rhône-Alpes;RHONE;69275;DECINES-CHARPIEU              ;88;1 382 973;4 089;
Rhône-Alpes;RHONE;69123;LYON                          ;6 709;1 760 925;7 906;
Rhône-Alpes;RHONE;69282;MEYZIEU                       ;142;1 654 986;6 740;
Rhône-Alpes;RHONE;69149;OULLINS                       ;125;1 466 617;5 232;
Rhône-Alpes;RHONE;69286;RILLIEUX LA PAPE              ;155;1 570 226;5 793;
Rhône-Alpes;RHONE;69290;SAINT-PRIEST                  ;126;1 639 297;7 100;
Rhône-Alpes;RHONE;69202;STE FOY LES LYON              ;605;1 693 812;7 364;
Rhône-Alpes;RHONE;69259;VENISSIEUX                    ;58;1 520 341;5 411;
Rhône-Alpes;RHONE;69264;VILLEFRANCHE-SUR-SAONE        ;182;1 542 485;5 727;
Rhône-Alpes;RHONE;69266;VILLEURBANNE                  ;499;1 399 952;4 470;
Rhône-Alpes;SAVOIE;73008;AIX LES BAINS                 ;366;1 426 908;4 595;
Rhône-Alpes;SAVOIE;73065;CHAMBERY                      ;645;1 553 020;6 284;
